item,itemLabel,itemDesc,siteLinks
Q558831,Hideo Hashimoto,Japanese association football player,54
Q5951723,Juan Orlando Hernández,President of Honduras from 2014 to 2022,54
Q211451,Aleksandar Kolarov,Serbian footballer,54
Q234959,Hayley Atwell,British actress,54
Q212639,Maurice Merleau-Ponty,French phenomenological philosopher,54
Q115962,David Coverdale,English rock singer,54
Q983402,Ranil Wickremesinghe,President of Sri Lanka since 2022,54
Q7151888,Paul L. Modrich,American biochemist,54
Q202152,Andrew Fire,American biologist,54
Q234640,Clara Bow,American actress,54
Q202237,Landon Donovan,American soccer player,54
Q212002,Amanda Bynes,American actress and fashion designer,54
Q445939,Roger Scruton,English conservative philosopher and writer,54
Q56755505,Ava Max,American singer and songwriter,54
Q31083,Wilma Rudolph,African American athlete,54
Q733535,Sota Hirayama,Japanese association football player,54
Q230534,Rebecca Hall,English actress,54
Q2169229,Norihiro Nishi,Japanese association football player,54
Q2851133,Anne Hidalgo,"French politician, mayor of Paris",53
Q437329,Danilo Luiz,Brazilian association football player,53
Q201900,Rüştü Reçber,Turkish association football goal-keeper,53
Q5448556,Filipe Nyusi,4th President of Mozambique,53
Q216608,Bob Geldof,Irish singer-songwriter and political activist,53
Q32620,Tulsi Gabbard,American politician,53
Q64129,Yusuf al-Qaradawi,"Egyptian Islamic theologian based in Doha, Qatar",53
Q155649,Richard Holbrooke,American diplomat,53
Q4914,Jimmy Kimmel,American talk show host and comedian,53
Q338151,Robert J. Shiller,American economist,53
Q168540,Roger Milla,Cameroonian association football player,53
Q555236,Don Knotts,American actor and stand-up comedian,53
Q876726,Cam Clarke,American voice actor,53
Q1919,Mathieu Valbuena,French association football player,53
Q15143059,Maria Elena Boschi,Italian lawyer and politician,53
Q189184,Rafael Pereira da Silva,Brazilian footballer,53
Q83498,Danny Rose,"English association football player, born 1990",53
Q465826,Rekhā,Indian actress,53
Q200228,Benny Hill,British comedian and actor,53
Q132430,Karl Urban,New Zealand actor,53
Q36951,Sándor Márai,Hungarian writer,53
Q92746,John Backus,American computer scientist,53
Q335680,Jimmy Fallon,American talk show host and comedian,53
Q192122,Esteban Cambiasso,Argentine association football player,53
Q201418,Abigail Breslin,American actress,53
Q13628723,Jared Kushner,"American investor, real-estate developer, newspaper publisher, and senior advisor to President Donald Trump",53
Q7426870,Satya Nadella,Indian American business executive and CEO of Microsoft,53
Q210669,Ken Follett,British novelist,53
Q230555,Gene Tierney,American actress,53
Q603317,Bill Irwin,"American actor, clown, and comedian",53
Q294583,Sam Shepard,American playwright and actor,53
Q214800,Calvin Klein,American fashion designer,53
Q257442,Sarah Paulson,American actress,53
Q239688,Gianluca Vialli,Italian association football player and manager,53
Q219657,Frank de Boer,Dutch association football player and manager,53
Q298025,Joss Whedon,"American director, writer, and producer",53
Q489856,Haley Joel Osment,American actor,53
Q159169,Nargis,Indian actress,53
Q188980,John Frusciante,American guitarist,53
Q489893,Askar Akayev,1st and former President of Kyrgyzstan,53
Q275415,Ezequiel Lavezzi,Argentine association football player,53
Q76906,Dieter Bohlen,"German songwriter, producer, singer, and television personality",53
Q2535466,Saburo Kawabuchi,Japanese association football player and manager,53
Q16146870,Steve Bannon,American media executive & political strategist,53
Q215523,Emilie de Ravin,Australian actress,53
Q184946,Joe Cole,English footballer,53
Q195953,Stefan de Vrij,Dutch association football player,53
Q154586,Levon Aronian,Armenian-American chess player,53
Q3008,Mike Oldfield,British musician and multi-instrumentalist,53
Q215358,Lucas Neill,Australian association football player,53
Q19810390,Charlie Puth,American singer and songwriter,53
Q190142,Gilberto Silva,Brazilian footballer,53
Q318458,Nguyen Phu Trong,General Secretary of the Communist Party of Vietnam since 2011,53
Q436987,David Ospina,Colombian association football player,53
Q299779,Salvatore Sirigu,Italian association football player,53
Q186478,Luca Toni,Italian association football player,53
Q42728914,Rodrygo,Brazilian association football player,53
Q462779,Medhi Benatia,Moroccan footballer,53
Q242302,Ewa Farna,Polish-Czech singer,53
Q52412,Stanislav Petrov,"officer of the Soviet Air Defence Forces, noted for not executing a nuclear strike during a nuclear false alarm incident",53
Q335455,Fernanda Montenegro,"Brazilian actress of theater, telenovelas, and cinema",53
Q437545,Owen Hargreaves,British footballer,53
Q110879,Gus Grissom,American astronaut,53
Q484772,Anderson,"Brazilian association football player, born 1988",53
Q964893,Mitsuru Nagata,Japanese association football player,53
Q763465,Hakan Çalhanoğlu,Turkish association football player,53
Q11954,Dries Mertens,Belgian association football player,53
Q221068,Logan Lerman,American actor,53
Q187396,Eiður Guðjohnsen,Icelandic footballer,53
Q254022,Eddie Izzard,British comedian and actor,53
Q224153,Robert Bruce Merrifield,American biochemist,53
Q230527,Natasha Henstridge,Canadian actress,53
Q982043,Naohiro Ishikawa,Japanese association football player,53
Q1992645,Nimr al-Nimr,Shia Sheikh in al-Awamiyah in Saudi Arabia's Eastern Province,53
Q244234,John Turturro,American actor,53
Q4715,Moncef Marzouki,Tunisian politician,53
Q1917,Philippe Mexès,French association football player,53
Q270149,Paul Wesley,American actor,53
Q217033,Jane Russell,American actress and model,53
Q12250314,Haitham bin Tarik Al Said,Current Sultan of Oman leh,53
Q77305,Guido Buchwald,German association football player and manager,53
Q201534,Flórián Albert,Hungarian footballer,53
Q231942,Natalie Cole,American singer,53
Q107964,Thomas J. Sargent,American economist,53
Q299574,Anwar Ibrahim,Prime Minister of Malaysia since 2022,53
Q3308007,Michael B. Jordan,American actor,53
Q309966,Bernd Leno,German footballer,53
Q58682,Tank Man,anonymous man who stood in front of a column of Chinese tanks during the Tiananmen Square protests,53
Q26625,Marc Anthony,American singer,53
Q232949,Roger Myerson,American economist,53
Q733471,Masahiro Fukuda,Japanese association football player,53
Q59490,Serge Gnabry,German association football player,53
Q238081,Cicely Tyson,American actress,53
Q763876,Takahagi Yojiro,Japanese association football player,53
Q236842,Kelly Preston,American actress,53
Q276186,Aki Kaurismäki,Finnish film director,53
Q636653,Danai Gurira,American actress,53
Q26933,Pete Townshend,British musician,53
Q946457,John Heitinga,Dutch association football player,53
Q298658,David Spade,American actor and comedian,53
Q232754,Natalia Vodianova,Russian model,53
Q3261014,Louis Aliot,French lawyer and politician,53
Q263730,Alejandro Jodorowsky,Chilean-French filmmaker and comics writer,53
Q213706,Tom Selleck,American actor,53
Q497770,Gaspard Ulliel,French actor,53
Q204943,Brian Jones,"British multi-instrumentalist, founding member of The Rolling Stones",53
Q270698,Beren Saat,Turkish actress,53
Q55910,Jerzy Buzek,Prime Minister of Poland President of the European Parliament,53
Q223771,Bảo Đại,Vietnamese emperor,53
Q124993,Leopoldo Fortunato Galtieri,"military, dictator and de facto president of Argentina from 1981 until 1982",53
Q209175,Kim Cattrall,British-Canadian actress,53
Q239652,Bulat Okudzhava,Soviet writer and singer,53
Q317778,Fakhruddin Ali Ahmed,"politician, fifth President of India",53
Q55720,"Sarah, Duchess of York","British writer, charity patron, public speaker, film producer and television personality",53
Q211482,Roderick MacKinnon,American neuroscientist,53
Q208087,Jonás Gutiérrez,Argentine footballer,53
Q232449,BoA,South Korean singer,53
Q295761,Lawrence Klein,American economist,53
Q194287,Joe Satriani,American musician,53
Q220816,Varlam Shalamov,"Soviet writer, journalist, poet and Gulag survivor",53
Q17519,Anousheh Ansari,Iranian-American engineer and entrepreneur,53
Q2065090,Paweł Adamowicz,Mayor of Gdańsk,53
Q78610,Anton Zeilinger,Austrian quantum physicist,53
Q211771,Iveta Radičová,"Slovak politician and sociologist, former prime minister",53
Q108111889,Gavi,Spanish association football player,53
Q230636,Geraldine Chaplin,British-American actress,53
Q181774,Ray Milland,Welsh-American actor and actor and film director,53
Q240769,Julie Payette,"29th Governor General of Canada, former CSA Astronaut",53
Q311319,Frank Oz,"Actor, director",53
Q76975,Rudolf Höss,"German war criminal, commandant of Auschwitz",53
Q236939,Christiane Amanpour,English-Iranian news anchor and international correspondent,53
Q217787,Carole King,American singer and songwriter,53
Q92747,Eric Schmidt,"software engineer, businessman, former Google CEO",53
Q44788,Matteo Darmian,Italian association football player,53
Q917301,Milena Dravić,Serbian actress,53
Q379827,Prem Tinsulanonda,Prime Minister of Thailand,53
Q152768,Daniel Barenboim,Israeli Argentine-born pianist and conductor,53
Q464932,Jaya Bachchan,Indian politician and actress,53
Q273228,Amintore Fanfani,"Italian diplomat, politician and academic",53
Q329744,Martin Short,Canadian actor and comedian,53
Q153149,Lennart Meri,"Estonian writer, filmmaker and politician; President of Estonia in 1992–2001",53
Q40604,Kieran Gibbs,English association football player,53
Q192913,Martin Škrtel,Slovak association football player,53
Q206939,Elvis Costello,English singer-songwriter,53
Q60545,Moussa Sissoko,French footballer,53
Q135180,Thomas Cech,American chemist,53
Q55183,Susan Wojcicki,Ex CEO of YouTube,53
Q137231,Arkadiusz Milik,Polish association football player,53
Q445772,Nikolaj Coster-Waldau,Danish actor and screenwriter,53
Q224026,Heather Graham,American actress,53
Q189535,Roberto Ayala,Argentine footballer,53
Q207335,Pete Best,"British musician, former member of the Beatles",53
Q215478,Terrence Malick,American film director and screenwriter,53
Q559081,Carrot Top,American stand-up comedian,53
Q217573,Dianne Wiest,American actress,53
Q310413,Don Ameche,American actor,53
Q151836,Friedensreich Hundertwasser,Austrian artist,53
Q232305,Roger Sperry,American neuroscientist,53
Q485784,Ha Seok-jin,South Korean actor,53
Q558849,Naotake Hanyu,Japanese association football player,53
Q159603,Władysław Gomułka,Polish politician,53
Q242654,Paul Keating,"Australian politician, 24th Prime Minister of Australia",53
Q234579,Flannery O'Connor,"American novelist, short story writer",53
Q449,Georges Brassens,French singer-songwriter and poet,53
Q295724,George Wald,Nobel laureate,53
Q213425,Danny Kaye,"American actor, singer, dancer, and comedian",53
Q192094,Steve Harris,"English musician, founder and bassist of Iron Maiden",53
Q272591,Daddy Yankee,Puerto Rican rapper and singer,53
Q51002,Jerry Rawlings,fourth President of the Republic of Ghana,53
Q2274,Chet Baker,American jazz trumpeter and vocalist,53
Q314227,Domagoj Vida,Croatian association football player,53
Q312782,Bob Woodward,American journalist,53
Q193702,Walter Samuel,Argentine association football player,53
Q484766,Tomasz Kuszczak,Polish association football player,53
Q97270,Thomas C. Südhof,German biochemist,53
Q110111,Gunnar Nordahl,Swedish association football player,53
Q237494,René Higuita,Colombian footballer,53
Q199931,Leighton Meester,American actress and singer,53
Q454200,Jackie Gleason,American comedian and actor,53
Q187038,David Carradine,American actor,53
Q2464437,Takuya Yamada,Japanese association football player,53
Q1375265,Georges Wolinski,French cartoonist,53
Q981355,Patrick M'Boma,Cameroonian association football player,53
Q231093,Mayim Bialik,"American actress, television personality, and author",53
Q1319882,Will Poulter,British actor,53
Q1951896,Mohammed bin Zayed Al Nahyan,3rd president of the United Arab Emirates,53
Q272519,Arthur Lewis,Saint Lucian economist,53
Q1351105,Eric Betzig,American physicist,53
Q20630956,Ritsu Doan,Japanese association football player,53
Q983082,Jeff Garlin,American stand-up comedian,53
Q202404,Giorgos Samaras,Greek footballer,53
Q172744,Juan Pablo Montoya,Colombian racing driver; former Formula One driver,53
Q192519,Jack Ruby,American nightclub operator who killed American presidential assassin Lee Harvey Oswald,53
Q242201,Ronda Rousey,"American former mixed martial arts fighter, professional wrestler, and judoka",53
Q272580,Juvénal Habyarimana,2nd President of Rwanda from 1973 until assassinated in 1994,53
Q808173,Barham Salih,President of Iraq,53
Q53396,Jim Courier,American tennis player,53
Q175303,Aaron Lennon,English association football player,53
Q230136,Teresa Wright,American actress,53
Q78644,Waris Dirie,"Somali model, author, actress, activist",53
Q230609,Ashley Benson,American actress and model,53
Q459104,Sabiha Gökçen,First Turkish female combat pilot,53
Q315214,Tariq Aziz,Iraqi Foreign Minister under Saddam Hussein,53
Q102395,Paul D. Boyer,American biochemist,53
Q4979316,Bruno Fernandes,Portuguese association football player,53
Q316436,César Sampaio,Brazilian association football player,53
Q196185,Russell Westbrook,American basketball player,53
Q296630,Jason Robards,American actor,53
Q1076041,Natasha Korolyova,Russian singer,53
Q188983,Giorgos Karagounis,Greek association football player,53
Q172724,Bernie Ecclestone,British business magnate,53
Q313246,David Foster Wallace,American fiction writer and essayist,53
Q233499,Yoshirō Mori,86th Prime Minister of Japan,53
Q107264,Robert Lucas,American economist,53
Q148669,Ida Lupino,British actress,53
Q232333,Karen Black,"American actress, screenwriter, singer, and songwriter",53
Q464394,Forugh Farrokhzad,Iranian poet,53
Q178713,Isao Takahata,"Japanese animator, animation director, director, producer",53
Q4284482,Yannick Carrasco,Belgian association football player,53
Q183381,Vasily Zaytsev,Soviet sniper,53
Q204555,Zinho,Brazilian association football player,53
Q107089,Robert Enke,German association football player,53
Q244790,Pablo Zabaleta,Argentine footballer,53
Q27049064,João Félix,Portuguese association football player,53
Q5341373,Edvard Moser,Norwegian psychologist and neuroscientist,53
Q183519,Leona Lewis,British singer,53
Q229162,Elena Ceaușescu,Romanian politician,53
Q205435,Billy Zane,American actor,53
Q51537,Mike Nichols,"American director, producer and actor",53
Q202645,Adrian Mutu,Romanian footballer,53
Q309885,Frederick Chapman Robbins,American doctor,53
Q210462,Christina Hendricks,American actress,53
Q192789,Robert Wadlow,American who was the tallest recorded person in history,53
Q140052,Zadie Smith,"English novelist, essayist and short-story writer",53
Q212751,Algirdas Brazauskas,Lithuanian politician,53
Q233951,Birgit Nilsson,Swedish opera singer,53
Q299419,Carlo Ponti,Italian film producer,53
Q296500,Terrence Howard,American actor,53
Q155290,Julio Salinas,Spanish association football player,53
Q11901,Beck,American musician,53
Q19898898,Frenkie de Jong,Dutch footballer,53
Q208681,Kris Kristofferson,"American country singer, songwriter and actor",53
Q332157,Shankar Dayal Sharma,Indian politician,53
Q207352,Agnieszka Radwańska,Polish tennis player,53
Q229121,Jana Novotná,Czech tennis player,53
Q15915040,Andrew Robertson,Scottish association football player,53
Q21063940,Airat Ichmouratov,Canadian composer and conductor,53
Q155236,Udo Jürgens,Austrian singer and composer,53
Q600,Ichiro Suzuki,"Japanese professional baseball player, MLB player",53
Q229940,Lucy Hale,American actress and singer,53
Q189947,Nick Clegg,British media executive and former politician,53
Q221001,Jacques Anquetil,French cyclist,53
Q190373,Joseph Barbera,American animator and cartoonist,53
Q221411,Wim Kok,Dutch politician,53
Q193160,Robert Sean Leonard,American actor,53
Q272943,Joe Dassin,French-American musician,53
Q1094245,Chase Elliott,American stock car racing driver,53
Q613994,Ken Naganuma,Japanese association football player and manager,53
Q1705018,Amrita Pritam,Punjabi poet,52
Q312843,Robert K. Merton,American sociologist,52
Q211322,Tom Wilkinson,English actor,52
Q13306,Alexandre Lacazette,French association football player,52
Q984448,Thomas Piketty,French economist,52
Q732991,Satoshi Yamaguchi,Japanese association football player and manager,52
Q274111,William F. Sharpe,American economist,52
Q295262,Carlos Alberto Torres,Brazilian association football player and manager,52
Q4384608,Bill English,Prime Minister of New Zealand from 2016 to 2017,52
Q4039,Art Garfunkel,American singer,52
Q220700,Omar Sívori,Italian-Argentine footballer,52
Q380787,Adunis,"essayist, poet",52
Q231751,Kat Dennings,American actress,52
Q310623,Brendan Rodgers,Northern Irish association football manager,52
Q211415,Edward James Olmos,American actor,52
Q601466,Shuhei Terada,Japanese association football player,52
Q309876,Niels Kaj Jerne,Danish immunologist,52
Q15079,Louis C.K.,American comedian and actor,52
Q1928,Hatem Ben Arfa,French association football player,52
Q2036160,Thomas Meunier,Belgian association football player,52
Q312355,Bakir Izetbegović,Bosnian-Herzegovinian politician,52
Q51511,George A. Romero,American-Canadian filmmaker,52
Q230291,Hassan al-Banna,Egyptian Islamic leader and politician,52
Q65321,Wolfgang Petersen,German film director,52
Q187450,Philippe Senderos,Swiss footballer,52
Q270249,Elina Svitolina,Ukrainian tennis player,52
Q57618112,MrBeast,American YouTuber,52
Q191819,George Martin,English record producer,52
Q105605,Jules Hoffmann,French biologist,52
Q377789,Dilip Kumar,Indian actor and politician,52
Q311005,Alain Badiou,French writer and philosopher,52
Q1929,Gaël Clichy,French association football player,52
Q276026,Gigi Riva,Italian association football player,52
Q312322,Vincenzo Nibali,Italian road racing cyclist,52
Q182349,Broderick Crawford,American actor,52
Q147057,Dragan Đokanović,Bosnian politician of Serbian origin,52
Q235946,Elizabeth Bishop,American poet,52
Q4790366,Arieh Warshel,"chemist, biochemist and biophysicist",52
Q324546,Marco Rubio,American politician,52
Q55431,Wong Kar-wai,"Chinese screenwriter, film producer and film director",52
Q558575,Mohamed Abdullahi Mohamed,the 10th and current president of the Federal Republic of Somalia,52
Q181899,Cliff Robertson,American actor,52
Q310723,Gojko Kačar,Serbian association football player,52
Q216450,Mercedes Sosa,Argentine singer,52
Q223151,James Baker,American lawyer and statesman,52
Q234581,Mélanie Laurent,"French actress, model, director and writer",52
Q83756,Wes Brown,English association football player,52
Q18765,Burak Yılmaz,Turkish association football player,52
Q237499,Edward Tatum,genetics scientist,52
Q139330,Zach Braff,American actor,52
Q139642,Zachary Quinto,American actor and film producer,52
Q28843759,Rosalía,Spanish artist and businesswoman,52
Q271703,Alfred Hershey,American chemist,52
Q210916,Álvaro Negredo,Spanish footballer,52
Q243190,Yuan T. Lee,Taiwanese chemist,52
Q213793,Phil Spector,American record producer,52
Q211126,Paulo Wanchope,Costa Rican association football player,52
Q455161,Uwe Bein,German association football player,52
Q4665896,Abdulla Yameen,President of the Maldives from 2013 to 2018,52
Q376335,Mikhail Ulyanov,"Soviet and Russian actor, theatre and film director",52
Q485885,Pierluigi Collina,Italian international football referee,52
Q233466,Elisabeth Moss,American actress,52
Q576702,Takahiro Futagawa,Japanese association football player,52
Q154599,Robert Doisneau,French photographer,52
Q189012,Alex Song,Cameroonian footballer,52
Q155880,Mirek Topolánek,Czech politician and businessman,52
Q12823,Susan Polgar,Hungarian chess player,52
Q129109,Matthias Ginter,German association football player,52
Q26380,Iago Aspas,Spanish footballer,52
Q1908,Mathieu Debuchy,French association football player,52
Q155525,César Milstein,Argentine biochemist,52
Q2427681,Shigetatsu Matsunaga,Japanese association football player,52
Q558862,Daigo Kobayashi,Japanese association football player,52
Q204279,Goran Ivanišević,Croatian tennis player and coach,52
Q213085,Milivoje Novaković,Slovenian association football player,52
Q39230,Marquinhos,Brazilian footballer,52
Q231713,Christina Grimmie,American singer and YouTuber,52
Q39574,Candice King,American actress and singer,52
Q211462,Brandon Lee,American actor,52
Q206466,Mahalia Jackson,American gospel singer,52
Q180444,Eduardo da Silva,Croatian footballer,52
Q233565,Denis Law,Scottish footballer,52
Q487141,Silvia Saint,Czech pornographic actress,52
Q230188,Olympia Dukakis,American actress,52
Q19636859,Oleksandr Zinchenko,Ukrainian association football player,52
Q215574,Mario Capecchi,molecular geneticist and Nobel laureate,52
Q982151,Kazumichi Takagi,Japanese association football player,52
Q456321,Joaquín Guzmán Loera,Mexican drug lord and former leader of the Sinaloa Cartel,52
Q156806,Konstantinos Karamanlis,"Prime Minister of Greece intermittently between 1955–80, President from 1980–85, 1990–95",52
Q192936,Nick Mason,"English drummer, co-founder of Pink Floyd",52
Q298075,Guy Debord,"French Marxist theorist, writer, filmmaker",52
Q182747,Asafa Powell,Jamaican sprinter,52
Q29495,Jonny Evans,Northern Irish association football player,52
Q215569,Alain Juppé,92nd Prime Minister of France,52
Q243969,Gordon Moore,American businessman,52
Q232538,Patty Duke,American actress and health advocate,52
Q1936,Djibril Cissé,French association football player,52
Q156833,Ramiz Alia,"former First Secretary of the Party of Labour of Albania, 1st President of the Republic of Albania",52
Q82891,Heikki Kovalainen,Finnish racecar driver,52
Q216195,Tom Wolfe,American author and journalist,52
Q329734,Brad Dourif,American actor,52
Q269883,Emmanuel Petit,French association football player,52
Q551861,Xavier Dolan,Canadian filmmaker,52
Q1671,Mo Farah,British track and field athlete,52
Q13217306,Lily James,British actress,52
Q155079,Missy Elliott,American rapper and singer,52
Q13581225,Luigi Di Maio,Italian politician,52
Q217764,Maurice Béjart,French-born Swiss ballet dancer and choreographer,52
Q510848,Richard Madden,Scottish actor,52
Q215057,Rick Perry,14th United States Secretary of Energy,52
Q517192,Radja Nainggolan,Belgian association football player,52
Q510970,Daniel Kaluuya,British actor,52
Q231249,Kate Mara,American actress,52
Q236121,Edyta Górniak,Polish singer and songwriter,52
Q188401,Emily Osment,American actress and singer,52
Q234610,Anne Heche,American actress,52
Q18924954,Lucas Hernandez,French association football player,52
Q215849,Ellen Pompeo,American actress,52
Q444270,James Rothman,American biologist and Nobel laureate,52
Q436230,Lucas Biglia,Argentine association football player,52
Q312837,C. Wright Mills,American sociologist,52
Q57363,Andry Rajoelina,President of Madagascar,52
Q558944,Yasuhiko Okudera,Japanese association football player and manager,52
Q57638,Jyrki Katainen,Finnish politician,52
Q11365943,Kosuke Nakamura,Japanese association football player,52
Q667596,Yann Sommer,Swiss association football player,52
Q234576,Teddy Sheringham,English footballer and manager,52
Q192963,Luís Fabiano,Brazilian footballer,52
Q229671,Chelsea Clinton,American author and global health advocate,52
Q228747,Julie Walters,English actress,52
Q982153,Kazuma Watanabe,Japanese association football player,52
Q15220993,Federico Bernardeschi,Italian association football player,52
Q187480,Howard Webb,English professional football referee,52
Q311655,Tom Petty,American musician,52
Q270635,Patricia Highsmith,American novelist and short story writer,52
Q127423,Victoria Silvstedt,"Swedish model, actress, singer, and television personality",52
Q46951844,Aurélien Tchouaméni,Cameroonian-French association football player,52
Q258820,Rishi Kapoor,Indian film actor,52
Q212889,Viktor Korchnoi,Soviet-Swiss chess grandmaster,52
Q210547,Aubrey Plaza,"American actress, comedian, and producer",52
Q147581,Yang Liwei,Chinese astronaut,52
Q296317,Tunku Abdul Rahman,first Prime Minister of Malaysia,52
Q12149,Thein Sein,former President and Prime Minister of Myanmar,52
Q612949,Levon Ter-Petrosyan,first President of Armenia from 1991 to 1998,52
Q222086,Mia Hamm,American soccer player,52
Q216936,Sean Combs,"American rapper, singer, songwriter, record producer, actor and entrepreneur",52
Q56093,Blake Edwards,"American film director, screenwriter and producer",52
Q2011434,Hiroki Yamada,Japanese association football player,52
Q212035,"Princess Madeleine, Duchess of Hälsingland and Gästrikland",youngest child of King Carl XVI Gustaf and Queen Silvia of Sweden,52
Q763939,Daiki Niwa,Japanese association football player,52
Q315017,Sadegh Hedayat,Iranian writer,52
Q267097,Mandy Patinkin,American actor and singer,52
Q267902,James Mattis,US Marine Corps general in retirement and former US secretary of defense,52
Q107008,Count Basie,American jazz musician and composer,52
Q77152,Werner Forssmann,"German physician, Nobel prize winner",52
Q80761,Dante Bonfim Costa Santos,Brazilian association football player,52
Q83648587,Charli D'Amelio,American social media personality,52
Q2360093,Shunichiro Okano,Japanese association football player and manager,52
Q315927,Masoud Barzani,Iraqi Kurdish politician,52
Q207506,Kyle MacLachlan,American actor,52
Q2485842,George Yonashiro,Japanese association football player and manager,52
Q122377,Micheline Calmy-Rey,member of the Swiss Federal Council,52
Q219256,Andreas Papandreou,Greek economist and politician,52
Q75810,Nick Heidfeld,German racing driver,52
Q75825,Ralf Schumacher,German racing driver,52
Q30628,Tera Patrick,American pornographic actress,52
Q190243,John Paul Jones,British bassist,52
Q204590,Christian Slater,American actor and producer,52
Q311269,John Bolton,American lawyer and diplomat,52
Q227716,George Tupou V of Tonga,King of Tonga,52
Q310819,Johnny Carson,American talk show host and comedian,52
Q34982,João Goulart,President of Brazil from 1961 to 1964,52
Q245241,Marin Čilić,Croatian tennis player,52
Q76623,Robert Huber,German Nobel laureate in chemistry,52
Q1974666,Go Oiwa,Japanese association football player and manager,52
Q106607,Carole Bouquet,French actress,52
Q17488307,Aleksandr Zakharchenko,Head and Prime Minister of the Donetsk People's Republic,52
Q193676,Ludacris,American rapper and actor,52
Q35786,Petr Nečas,"Czech politician, former Prime Minister of the Czech Republic",52
Q105695,AnnaSophia Robb,American actress,52
Q159704,Patricia Kaas,French singer,52
Q4023294,Yuya Kubo,Japanese association football player,52
Q309979,Paul Greengard,American neuroscientist,52
Q10711,Manuel Almunia,Spanish association football player,52
Q295141,Chaim Herzog,"Israeli politician, 6th president of Israel",52
Q214117,Hélder Postiga,Portuguese footballer,52
Q497827,Sam Walton,American businessman,52
Q234583,Lynn Margulis,American evolutionary biologist,52
Q118207,Kevin Trapp,German association football player,52
Q315643,Alex Turner,British musician,52
Q44309,Daniel Van Buyten,Belgian association football player,52
Q329524,Gary Medel,Chilean association football player,52
Q110947,William Standish Knowles,American chemist,52
Q192840,Sami Hyypiä,Finnish footballer and coach,52
Q234773,Priscilla Presley,American actress and businesswoman,52
Q60970,Sakis Rouvas,Greek recording artist,52
Q17230350,Mackenyu,Japanese actor,52
Q234471,Margot Kidder,Canadian-American actress,52
Q65105,Franka Potente,German actress,52
Q219878,Emma Bunton,English singer,52
Q156480,Hugo Theorell,biochemist,52
Q202582,Lansana Conté,second President of Guinea,52
Q287607,Rob Reiner,American actor and director,52
Q192359,João Gilberto,"Brazilian musician, pioneer of bossa nova",52
Q296843,Andrew Lincoln,British actor,52
Q172712,Giancarlo Fisichella,Italian racecar driver,52
Q216924,Glenn Gould,Canadian composer and pianist,52
Q903471,Martin Karplus,Austrian-born American theoretical chemist,52
Q2253352,David A. R. White,American actor,52
Q38393,Asha Bhosle,Indian playback singer,52
Q19242,Bill Anders,American astronaut,52
Q159057,Mark Schwarzer,Australian association football player,52
Q9119,Kenenisa Bekele,Ethiopian long-distance runner,52
Q218823,Joshua Lederberg,American molecular biologist,52
Q84186,Ivan Illich,Austrian philosopher and theologian,52
Q167846,Zayed bin Sultan Al Nahyan,Sheikh of Abu Dhabi from 1966 to 2004,52
Q229442,Twiggy Lawson,"British model, actress and singer",52
Q9124,Eliud Kipchoge,Kenyan long-distance runner,52
Q44181,Anatolii Tymoshchuk,Ukrainian footballer,52
Q57449,Ian Khama,Motswana politician,52
Q212048,Glenn Ford,Canadian-American actor,52
Q313388,Jonah Hill,American actor,52
Q313598,Chiang Ching-kuo,President of Taiwan from 1978 to 1988,52
Q242868,Jean-Paul Gaultier,fashion designer,52
Q208834,René Préval,Ex-President of Haiti,52
Q158850,Dominique Pire,Belgian Dominican friar,52
Q455898,Sebastian Stan,Romanian-born American-raised actor,52
Q3137,Jim Clark,British racecar driver,52
Q189240,Kevin Garnett,American professional basketball player,52
Q235159,Giuseppe Bergomi,Italian association football player,52
Q159409,Louise Bourgeois,French-American artist,52
Q188564,Massimo Ambrosini,Italian association football player,52
Q363829,Paulo Futre,Portuguese association football player,52
Q391628,Šime Vrsaljko,Croatian association football player,52
Q232902,Jennifer Jason Leigh,American actress,52
Q189008,Konstantin Zyryanov,Russian footballer,52
Q212790,David Thewlis,British actor,52
Q295093,Claude Lelouch,"French film director, writer, cinematographer, actor and producer",52
Q59821,Robert Wise,"American film director, film producer and film editor",52
Q193534,Sertab Erener,Turkish singer,52
Q374065,Patton Oswalt,American actor and comedian,52
Q191162,Emile Heskey,English association football player,52
Q82742,Romain Grosjean,French and Swiss racing driver,52
Q273256,Hakeem Olajuwon,Professional basketball player,52
Q18325379,Presnel Kimpembe,French association football player,52
Q159840,Ruud Lubbers,47th Prime Minister of the Netherlands from 1982 to 1994,52
Q159166,Vidya Balan,Indian film actress,52
Q1378371,Alessandro Florenzi,Italian association football player,52
Q317201,Txiki Begiristain,Spanish association football player,52
Q44470,Uwe Seeler,German footballer,52
Q219390,Giacinto Facchetti,Italian association football player,52
Q213980,Sergei Ignashevich,Russian footballer,52
Q310586,Jesse Jackson,"American Baptist minister, activist, and politician",52
Q189716,Mauro Camoranesi,Italian footballer,52
Q190051,Jamie Oliver,British chef and media personality,52
Q295637,Victor Moses,Nigerian association football player,52
Q186415,Carlos Marchena,Spanish footballer,52
Q223830,Danny Trejo,American actor,52
Q185610,will.i.am,"American rapper, singer, songwriter and record producer",52
Q151814,Sarah Brightman,British singer and actress,52
Q155385,Étienne Gnassingbé Eyadéma,President of Togo,52
Q76844,Ulrich Beck,German sociologist & scholar,52
Q55238,Ken Loach,English film director and screenwriter,52
